Peak time,Peak total count
2024-07-10 13:42:07.116195,117890894.42382812
2024-07-10 13:45:46.124835,33987475.6015625
2024-07-10 13:54:53.644305,49343762.49609375
2024-07-10 14:02:11.661710,17614473.321289062
2024-07-10 14:13:08.687630,56860699.57714844
2024-07-10 14:22:16.207100,73145924.33300781
2024-07-10 14:31:23.727830,36837516.39355469
2024-07-10 14:35:02.735460,39940960.68261719
2024-07-10 14:38:41.744100,42682086.212890625
2024-07-10 14:49:38.767895,23624399.739257812
2024-07-10 14:56:56.785300,29530055.350585938
2024-07-10 15:07:53.809370,68483758.80566406
2024-07-10 15:11:32.851870,60376674.49121094
2024-07-10 15:14:20.583285,50590769.45410156
2024-07-10 15:20:49.415475,49144840.07910156
