Peak time,Peak total count
2024-11-01 00:26:43.619,69215.7940190468
2024-11-01 00:36:54.678,1027869.0844279424
2024-11-01 00:45:50.899,41447.136641534016
2024-11-01 00:48:49.843,162069.3932446857
2024-11-01 00:53:18.260,75925.19115761833
2024-11-01 00:57:46.677,409213.43637443654
2024-11-01 01:03:43.959,888703.6949891608
2024-11-01 01:12:39.511,53734.82544193331
2024-11-01 01:15:38.440,51262.44476465981
2024-11-01 01:21:35.350,377923.05768356845
2024-11-01 01:24:33.495,473685.3202904262
2024-11-01 01:29:01.176,959347.6326378265
2024-11-01 01:33:28.538,317148.8976474373
2024-11-01 01:36:26.714,414288.5856813614
2024-11-01 01:40:53.979,1717288.6550114846
2024-11-01 01:45:21.243,3193514.2551214956
2024-11-01 01:51:17.596,945158.0046353013
2024-11-01 01:55:44.861,4363723.046096046
2024-11-01 02:00:12.125,718151.3921167486
