HARP no.,NOAA_AR,T_REC
11297,13697,2024-05-31 19:00:00
11297,13697,2024-05-31 19:12:00
11297,13697,2024-05-31 19:24:00
11297,13697,2024-05-31 19:36:00
11297,13697,2024-05-31 19:48:00
11297,13697,2024-05-31 20:00:00
11297,13697,2024-05-31 20:12:00
11297,13697,2024-05-31 20:24:00
11297,13697,2024-05-31 20:36:00
11297,13697,2024-05-31 20:48:00
11297,13697,2024-05-31 21:00:00
11297,13697,2024-05-31 21:12:00
11297,13697,2024-05-31 21:24:00
11297,13697,2024-05-31 21:36:00
11297,13697,2024-05-31 21:48:00
11297,13697,2024-05-31 22:00:00
11297,13697,2024-05-31 22:12:00
11297,13697,2024-05-31 22:24:00
11297,13697,2024-05-31 22:36:00
11297,13697,2024-06-01 07:00:00
11297,13697,2024-06-01 07:12:00
11297,13697,2024-06-01 07:24:00
11297,13697,2024-06-01 07:36:00
11297,13697,2024-06-01 07:48:00
11297,13697,2024-06-01 08:00:00
11297,13697,2024-06-01 08:12:00
11297,13697,2024-06-01 08:24:00
11297,13697,2024-06-01 08:36:00
11297,13697,2024-06-01 08:48:00
11297,13697,2024-06-01 09:00:00
11297,13697,2024-06-01 09:12:00
