Time,Total,Area,Exposure,Meas_exposure
2024-11-01 01:58:43.401700,1926186041.974215,1926186041.974215,340896,2000,1924.3000000000002
2024-11-01 02:00:12.125330,1922742979.5366776,1922742979.5366778,340896,2000,1924.3000000000002
2024-11-01 02:01:40.956615,1923511820.9069133,1923511820.9069133,340896,2000,1924.3000000000002
2024-11-01 02:03:09.789765,1924918362.580618,1924918362.5806181,340896,2000,1924.3000000000002
2024-11-01 02:04:38.622050,1924214029.838255,1924214029.838255,340896,2000,1924.3000000000002
2024-11-01 02:06:07.454335,1926399071.4742966,1926399071.4742966,340896,2000,1921.6000000000004
2024-11-01 02:07:36.286495,1927170833.596118,1927170833.5961182,340896,2000,1924.3000000000002
2024-11-01 02:09:05.118905,1931846444.8158488,1931846444.8158488,340896,2000,1924.3000000000002
2024-11-01 02:10:33.951055,1932025565.0143478,1932025565.0143478,340896,2000,1921.6000000000004
2024-11-01 02:12:02.751340,1934358568.9691887,1934358568.9691887,340896,2000,1924.3000000000002
2024-11-01 02:13:31.551500,1950505098.565887,1950505098.565887,340896,2000,1924.3000000000002
2024-11-01 02:14:05.663560,1955927499.784884,1955927499.784884,340896,2000,1924.3000000000002
2024-11-01 02:14:24.127590,1962522050.7415993,1962522050.7415993,340896,2000,1918.9
2024-11-01 02:14:42.591630,1970228220.9853268,1970228220.9853268,340896,2000,1921.6000000000004
2024-11-01 02:15:02.461785,1971893710.225877,1971893710.225877,340896,2000,1924.3000000000002
2024-11-01 02:16:33.998945,1980425381.4886212,1980425381.4886215,340896,1500,1424.8000000000002
2024-11-01 02:18:10.724250,1947934764.5617714,1947934764.5617714,340896,2000,1924.3000000000002
2024-11-01 02:19:47.396545,1941399018.4729362,1941399018.4729362,340896,2000,1924.3000000000002
2024-11-01 02:21:24.998400,1937304915.1545973,1937304915.1545973,340896,2000,1924.3000000000002
2024-11-01 02:23:00.805010,1933371401.3460472,1933371401.3460472,340896,2000,1924.3000000000002
2024-11-01 02:24:37.509305,1928923572.8101435,1928923572.8101435,340896,2000,1924.3000000000002
2024-11-01 02:26:14.212610,1927243309.9710326,1927243309.971033,340896,2000,1924.3000000000002
2024-11-01 02:27:50.917905,1923442730.2505467,1923442730.2505465,340896,2000,1921.6000000000004
2024-11-01 02:29:27.622200,1926014258.8161628,1926014258.816163,340896,2000,1924.3000000000002
